"key","name","entity_type","cui","count"
"C0042682","vindesine","DISEASE_DISORDER","C0042682","1"
"C0042779","Viscera","BIOLOGICAL_STRUCTURE","C0042779","2"
"C0042789","Vision","CLINICAL_EVENT","C0042789","1"
"C0042845","vitamin B12","MEDICATION","C0042845","4"
"C0042890","Vitamins","MEDICATION","C0042890","1"
"C0042930","Vocal cord structure","BIOLOGICAL_STRUCTURE","C0042930","1"
"C0042963","Vomiting","SIGN_SYMPTOM","C0042963","2"
"C0043047","water","MEDICATION","C0043047","1"
"C0043094","Weight Gain","SIGN_SYMPTOM","C0043094","2"
"C0043144","Wheezing","SIGN_SYMPTOM","C0043144","1"
"C0043242","Superficial abrasion","DISEASE_DISORDER","C0043242","1"
"C0043250","Injury wounds","DISEASE_DISORDER","C0043250","7"
"C0043251","Wounds and Injuries","DISEASE_DISORDER","C0043251","3"
"C0043266","Writing (occupation or discipline)","SIGN_SYMPTOM","C0043266","1"
"C0043299","Diagnostic radiologic examination","DIAGNOSTIC_PROCEDURE","C0043299","1"
"C0046056","fluorodeoxyglucose F18","MEDICATION","C0046056","2"
"C0054836","carvedilol","MEDICATION","C0054836","2"
"C0054966","CD59 Antigen","THERAPEUTIC_PROCEDURE","C0054966","1"
"C0055144","CETAPHIL","MEDICATION","C0055144","1"
"C0055633","Chromogranin A","DIAGNOSTIC_PROCEDURE","C0055633","2"
"C0056562","crystalloid solutions","BIOLOGICAL_STRUCTURE","C0056562","1"
"C0058928","ECHO protocol","DIAGNOSTIC_PROCEDURE","C0058928","10"
"C0060627","FOM protocol","BIOLOGICAL_STRUCTURE","C0060627","1"
"C0061355","Glucagon-Like Peptide 1","MEDICATION","C0061355","1"
"C0063083","Hydrogel","MEDICATION","C0063083","1"
"C0072027","procalcitonin","LAB_VALUE","C0072027","3"
"C0072523","TFF1 protein, human","SIGN_SYMPTOM","C0072523","1"
"C0074830","Somatostatin Receptor","BIOLOGICAL_STRUCTURE","C0074830","2"
"C0075870","tazobactam","MEDICATION","C0075870","1"
"C0076840","torsemide","MEDICATION","C0076840","3"
"C0078414","cisplatin/etoposide protocol","MEDICATION","C0078414","1"
"C0079083","carboplatin","MEDICATION","C0079083","1"
"C0079459","Granulocyte Colony-Stimulating Factor","MEDICATION","C0079459","1"
"C0079611","Immunophenotyping","BIOLOGICAL_ATTRIBUTE","C0079611","3"
"C0079744","Diffuse Large B-Cell Lymphoma","DISEASE_DISORDER","C0079744","1"
"C0079946","National origin","AREA","C0079946","1"
"C0080078","Range of Motion, Articular","BIOLOGICAL_ATTRIBUTE","C0080078","1"
"C0080264","Ultrasonography, Mammary","DIAGNOSTIC_PROCEDURE","C0080264","6"
"C0080274","Urinary Retention","SIGN_SYMPTOM","C0080274","3"
"C0080306","Vena Cava Filters","THERAPEUTIC_PROCEDURE","C0080306","1"
"C0080331","Walking (activity)","ACTIVITY","C0080331","4"
"C0085089","Morphologic artifacts","OTHER_ENTITY","C0085089","9"
"C0085134","Cessation of smoking","THERAPEUTIC_PROCEDURE","C0085134","1"
"C0085220","Cerebral Amyloid Angiopathy","DISEASE_DISORDER","C0085220","2"
"C0085255","Synaptophysin","DIAGNOSTIC_PROCEDURE","C0085255","2"
"C0085268","Bone remodeling","SIGN_SYMPTOM","C0085268","5"
"C0085270","Orbital Pseudotumor","DISEASE_DISORDER","C0085270","1"
"C0085281","Addictive Behavior","DISEASE_DISORDER","C0085281","3"
"C0085405","Salvage Therapy","THERAPEUTIC_PROCEDURE","C0085405","1"
"C0085427","Tibial Arteries","BIOLOGICAL_STRUCTURE","C0085427","2"
"C0085484","Enterobacter cloacae","OTHER_ENTITY","C0085484","1"
"C0085495","Enterococcus faecium","OTHER_ENTITY","C0085495","1"
"C0085515","Rotator Cuff","BIOLOGICAL_STRUCTURE","C0085515","1"
"C0085532","Coronary angiography","DIAGNOSTIC_PROCEDURE","C0085532","8"
"C0085533","Chemotherapy, Adjuvant","THERAPEUTIC_PROCEDURE","C0085533","1"
"C0085555","Hospice Care","THERAPEUTIC_PROCEDURE","C0085555","3"
"C0085559","intensive care","DETAILED_DESCRIPTION","C0085559","1"
"C0085577","Normocytic anemia","DISEASE_DISORDER","C0085577","2"
"C0085593","Chills","SIGN_SYMPTOM","C0085593","1"
"C0085605","Liver Failure","DISEASE_DISORDER","C0085605","1"
"C0085612","Ventricular arrhythmia","DISEASE_DISORDER","C0085612","1"
"C0085614","First degree atrioventricular block","DISEASE_DISORDER","C0085614","1"
"C0085615","Right bundle branch block","DISEASE_DISORDER","C0085615","1"
"C0085623","Akinesia","SIGN_SYMPTOM","C0085623","1"
"C0085631","Agitation","SIGN_SYMPTOM","C0085631","2"
"C0085639","Falls","QUALITATIVE_CONCEPT","C0085639","2"
"C0085649","Peripheral edema","SIGN_SYMPTOM","C0085649","3"
"C0085671","Dressing change","THERAPEUTIC_PROCEDURE","C0085671","5"
"C0085678","Nasogastric tube","ADMINISTRATION","C0085678","5"
"C0085806","Andrology","NONBIOLOGICAL_LOCATION","C0085806","1"
"C0085846","Fine-needle biopsy","DIAGNOSTIC_PROCEDURE","C0085846","13"
"C0086143","Diagnostic tests","NONBIOLOGICAL_LOCATION","C0086143","2"
"C0086225","Enteral Feeding","THERAPEUTIC_PROCEDURE","C0086225","1"
"C0086437","Joint laxity","SIGN_SYMPTOM","C0086437","1"
"C0087086","Thrombus","DISEASE_DISORDER","C0087086","6"
"C0087111","Therapeutic procedure","DOSAGE","C0087111","2"
"C0087113","Treatment Effectiveness","OUTCOME","C0087113","1"
"C0087130","Uncertainty","LAB_VALUE","C0087130","1"
"C0087153","Ventilator - respiratory equipment","OTHER_ENTITY","C0087153","2"
"C0122734","Bandages, Hydrocolloid","MEDICATION","C0122734","1"
"C0132897","Novoscabin","MEDICATION","C0132897","2"
"C0138741","Prostate-Specific Antigen","DIAGNOSTIC_PROCEDURE","C0138741","2"
"C0140145","APEX1 protein, human","BIOLOGICAL_STRUCTURE","C0140145","8"
"C0144576","paclitaxel","MEDICATION","C0144576","1"
"C0149512","Acute sinusitis","DISEASE_DISORDER","C0149512","1"
"C0149543","Base of skull structure","BIOLOGICAL_STRUCTURE","C0149543","2"
"C0149556","Fourth ventricle structure","BIOLOGICAL_STRUCTURE","C0149556","1"
"C0149601","Structure of conus medullaris","BIOLOGICAL_STRUCTURE","C0149601","1"
"C0149630","Bicuspid aortic valve","DISEASE_DISORDER","C0149630","2"
"C0149783","Steroid therapy","THERAPEUTIC_PROCEDURE","C0149783","1"
"C0149871","Deep Vein Thrombosis","DISEASE_DISORDER","C0149871","1"
"C0149925","Small cell carcinoma of lung","DISEASE_DISORDER","C0149925","2"
"C0150312","Present","LAB_VALUE","C0150312","5"
"C0150369","Preventive monitoring","DIAGNOSTIC_PROCEDURE","C0150369","2"
"C0150694","Artificial Airways, Oropharyngeal","THERAPEUTIC_PROCEDURE","C0150694","2"
"C0151514","Atrophic condition of skin","SIGN_SYMPTOM","C0151514","4"
"C0151636","Premature ventricular contractions","SIGN_SYMPTOM","C0151636","3"
"C0151664","Gastrointestinal perforation","DISEASE_DISORDER","C0151664","1"
"C0151740","Intracranial Hypertension","SIGN_SYMPTOM","C0151740","1"
"C0151746","Abnormal renal function","SIGN_SYMPTOM","C0151746","1"
"C0151825","Bone pain","SIGN_SYMPTOM","C0151825","3"
"C0151878","Prolonged QT interval","BIOLOGICAL_ATTRIBUTE","C0151878","5"
"C0151936","Disorder of tendon","DISEASE_DISORDER","C0151936","1"
"C0152013","Adenocarcinoma of lung (disorder)","DISEASE_DISORDER","C0152013","1"
"C0152254","Fatty degeneration","SIGN_SYMPTOM","C0152254","1"
"C0152279","Lateral ventricle structure","BIOLOGICAL_STRUCTURE","C0152279","1"
"C0152287","Lateral aperture of fourth ventricle","BIOLOGICAL_STRUCTURE","C0152287","1"
"C0152424","Common ventricle","DISEASE_DISORDER","C0152424","2"
"C0152452","Fibrosis of pericardium","DISEASE_DISORDER","C0152452","1"
"C0153436","Malignant neoplasm of sigmoid colon","DISEASE_DISORDER","C0153436","2"
"C0153687","Secondary malignant neoplasm of skin","DISEASE_DISORDER","C0153687","1"
"C0153690","Secondary malignant neoplasm of bone","DISEASE_DISORDER","C0153690","1"
"C0158981","Neonatal diabetes mellitus","BIOLOGICAL_ATTRIBUTE","C0158981","1"
"C0162326","DNA Sequence","DIAGNOSTIC_PROCEDURE","C0162326","2"
"C0162340","Comprehension","SIGN_SYMPTOM","C0162340","1"
"C0162429","Malnutrition","DISEASE_DISORDER","C0162429","2"
"C0162481","Doppler Ultrasound (procedure)","DIAGNOSTIC_PROCEDURE","C0162481","4"
"C0162521","Exercise Tolerance","BIOLOGICAL_ATTRIBUTE","C0162521","1"
"C0162534","Prion Diseases","DIAGNOSTIC_PROCEDURE","C0162534","1"
"C0162577","Angioplasty","THERAPEUTIC_PROCEDURE","C0162577","1"
"C0162701","Polysomnography","DIAGNOSTIC_PROCEDURE","C0162701","7"
"C0162871","Aortic Aneurysm, Abdominal","DISEASE_DISORDER","C0162871","1"
"C0168634","BaseLine dental cement","QUALITATIVE_CONCEPT","C0168634","1"
"C0175566","Open","QUALITATIVE_CONCEPT","C0175566","1"
"C0175649","Prosthesis","OTHER_ENTITY","C0175649","1"
"C0175723","Bands","SHAPE","C0175723","2"
"C0175730","biomedical tube device","OTHER_ENTITY","C0175730","1"
"C0175735","Scissors (device)","OTHER_ENTITY","C0175735","1"
"C0175895","Calcified (qualifier)","SIGN_SYMPTOM","C0175895","1"
"C0178499","Base","BIOLOGICAL_STRUCTURE","C0178499","3"
"C0178587","density","SIGN_SYMPTOM","C0178587","1"
"C0178602","Dosage","DOSAGE","C0178602","1"
"C0178733","Loudness","QUALITATIVE_CONCEPT","C0178733","2"
"C0178784","Organ","BIOLOGICAL_STRUCTURE","C0178784","1"
"C0178802","Pleural cavity","BIOLOGICAL_STRUCTURE","C0178802","2"
"C0178913","Blood specimen","DIAGNOSTIC_PROCEDURE","C0178913","1"
"C0178987","Artificial Airways","BIOLOGICAL_STRUCTURE","C0178987","5"
"C0179031","Ampule","DOSAGE","C0179031","1"
"C0179196","Bag, device","OTHER_ENTITY","C0179196","5"
"C0179740","Peripherally inserted central catheter (physical object)","THERAPEUTIC_PROCEDURE","C0179740","2"
"C0179802","Urinary catheter","OTHER_ENTITY","C0179802","2"
"C0180053","Compresses (device)","THERAPEUTIC_PROCEDURE","C0180053","6"
"C0180208","Blood pressure cuff","OTHER_ENTITY","C0180208","1"
"C0180407","Dialysis units (machines)","NONBIOLOGICAL_LOCATION","C0180407","3"
"C0180453","Laryngoscopes","OTHER_ENTITY","C0180453","3"
"C0180499","Drain device","THERAPEUTIC_PROCEDURE","C0180499","2"
"C0180823","Orthodontic Face Mask","OTHER_ENTITY","C0180823","1"
"C0180860","Filters","OTHER_ENTITY","C0180860","1"
"C0181162","Cushions, Heel Stirrup","OTHER_ENTITY","C0181162","1"
"C0181278","Halo brace","SIGN_SYMPTOM","C0181278","3"
"C0181586","Leads (device)","OTHER_ENTITY","C0181586","1"
"C0181763","Massage Machines, Physical Therapy","THERAPEUTIC_PROCEDURE","C0181763","1"
"C0181904","Monitor Device","THERAPEUTIC_PROCEDURE","C0181904","3"
"C0182109","Pulse oximeter","OTHER_ENTITY","C0182109","1"
"C0182123","Oxygen concentrator (device)","THERAPEUTIC_PROCEDURE","C0182123","1"
"C0182158","Pads","OTHER_ENTITY","C0182158","1"
"C0182291","Pillow","OTHER_ENTITY","C0182291","1"
"C0182349","Positron emission tomography unit","NONBIOLOGICAL_LOCATION","C0182349","1"
"C0182370","Esophageal manometer","OTHER_ENTITY","C0182370","2"
"C0182537","pump (device)","OTHER_ENTITY","C0182537","2"
"C0183115","Scanning Systems","OTHER_ENTITY","C0183115","3"
"C0183129","Echocardiographs","DIAGNOSTIC_PROCEDURE","C0183129","2"
"C0183512","Biliary Stent Devices","THERAPEUTIC_PROCEDURE","C0183512","1"
"C0183663","Stylet, device","OTHER_ENTITY","C0183663","1"
"C0183753","Swab specimen","DIAGNOSTIC_PROCEDURE","C0183753","1"
"C0183828","Biomedical tape","OTHER_ENTITY","C0183828","1"
"C0184159","Tracheostomy tube","OTHER_ENTITY","C0184159","1"
"C0184228","Analyzers, Laboratory, Urine, Automated","DIAGNOSTIC_PROCEDURE","C0184228","1"
"C0184252","Medical Valves","BIOLOGICAL_STRUCTURE","C0184252","13"
"C0184348","Warmer, device","SIGN_SYMPTOM","C0184348","1"
"C0184511","Improved","OUTCOME","C0184511","1"
"C0184633","Oxygen Therapy Care","THERAPEUTIC_PROCEDURE","C0184633","7"
"C0184645","Mental health promotion","NONBIOLOGICAL_LOCATION","C0184645","1"
"C0184661","Interventional procedure","THERAPEUTIC_PROCEDURE","C0184661","18"
"C0184666","Hospital admission","CLINICAL_EVENT","C0184666","51"
"C0184908","Partial excision","THERAPEUTIC_PROCEDURE","C0184908","1"
"C0184909","Wedge resection - action","THERAPEUTIC_PROCEDURE","C0184909","1"
"C0184922","Incisional biopsy - action","DIAGNOSTIC_PROCEDURE","C0184922","1"
"C0184936","Removal of sutures","THERAPEUTIC_PROCEDURE","C0184936","1"
"C0185003","Reparative closure","THERAPEUTIC_PROCEDURE","C0185003","3"
"C0185317","Arthroplasty, Replacement","THERAPEUTIC_PROCEDURE","C0185317","1"
"C0189476","Insertion of pleural tube drain","THERAPEUTIC_PROCEDURE","C0189476","1"
"C0189477","Thoracentesis","THERAPEUTIC_PROCEDURE","C0189477","3"
"C0189557","Pleurodesis","THERAPEUTIC_PROCEDURE","C0189557","1"
"C0189967","Closure of patent foramen ovale","THERAPEUTIC_PROCEDURE","C0189967","5"
"C0191234","Pericardiocentesis","THERAPEUTIC_PROCEDURE","C0191234","1"
"C0191237","Drainage of pericardium","THERAPEUTIC_PROCEDURE","C0191237","1"
"C0192153","Partial glossectomy (procedure)","THERAPEUTIC_PROCEDURE","C0192153","2"
"C0192220","Partial pharyngectomy","THERAPEUTIC_PROCEDURE","C0192220","2"
"C0192861","Right colectomy","THERAPEUTIC_PROCEDURE","C0192861","1"
"C0193062","Rectum excision (procedure)","THERAPEUTIC_PROCEDURE","C0193062","3"
"C0193317","Parotidectomy","THERAPEUTIC_PROCEDURE","C0193317","8"
"C0193318","Complete parotidectomy","THERAPEUTIC_PROCEDURE","C0193318","2"
"C0193790","Subtotal thyroidectomy","THERAPEUTIC_PROCEDURE","C0193790","2"
"C0193864","Modified radical neck dissection (procedure)","THERAPEUTIC_PROCEDURE","C0193864","2"
"C0194086","Partial nephrectomy","THERAPEUTIC_PROCEDURE","C0194086","1"
"C0199176","Prophylactic treatment","THERAPEUTIC_PROCEDURE","C0199176","3"
"C0199236","Family Study","CLINICAL_EVENT","C0199236","2"
"C0199242","Administration of prophylactic anticoagulant","THERAPEUTIC_PROCEDURE","C0199242","2"
"C0199470","Mechanical ventilation","THERAPEUTIC_PROCEDURE","C0199470","2"
"C0199529","Pulmonary rehabilitation (procedure)","THERAPEUTIC_PROCEDURE","C0199529","2"
"C0199900","Rectal examination","DIAGNOSTIC_PROCEDURE","C0199900","4"
"C0199962","Transfusion of packed red blood cells","THERAPEUTIC_PROCEDURE","C0199962","1"
"C0200345","Specimen Collection","NONBIOLOGICAL_LOCATION","C0200345","1"
"C0200949","Blood culture","DIAGNOSTIC_PROCEDURE","C0200949","2"
"C0201544","Prostate specific antigen measurement","DIAGNOSTIC_PROCEDURE","C0201544","1"
"C0201719","Protein electrophoresis","DIAGNOSTIC_PROCEDURE","C0201719","4"
"C0202024","Free thyroxine index test","DIAGNOSTIC_PROCEDURE","C0202024","1"
"C0202657","CT follow-up","DIAGNOSTIC_PROCEDURE","C0202657","4"
"C0202823","Chest CT","DIAGNOSTIC_PROCEDURE","C0202823","1"
"C0202840","CT of abdomen with contrast","DIAGNOSTIC_PROCEDURE","C0202840","2"
"C0203028","Screening mammography","DIAGNOSTIC_PROCEDURE","C0203028","1"
"C0203668","Radioisotope scan of bone","DIAGNOSTIC_PROCEDURE","C0203668","2"
"C0204096","Neurological Rehabilitation","NONBIOLOGICAL_LOCATION","C0204096","2"
"C0204512","Psychiatric Rehabilitation","THERAPEUTIC_PROCEDURE","C0204512","2"
"C0204695","Feeding patient","THERAPEUTIC_PROCEDURE","C0204695","3"
"C0204727","Isolation procedure","THERAPEUTIC_PROCEDURE","C0204727","3"
"C0204819","Intubation, Nasogastric","THERAPEUTIC_PROCEDURE","C0204819","2"
"C0204977","Home care of patient","THERAPEUTIC_PROCEDURE","C0204977","2"
"C0205042","Coronary artery","BIOLOGICAL_STRUCTURE","C0205042","5"
"C0205052","rectal","BIOLOGICAL_STRUCTURE","C0205052","4"
"C0205081","Moderate (severity modifier)","SEVERITY","C0205081","24"
"C0205082","Severe (severity modifier)","SEVERITY","C0205082","15"
"C0205090","Right","BIOLOGICAL_STRUCTURE","C0205090","77"
"C0205091","Left","BIOLOGICAL_STRUCTURE","C0205091","68"
"C0205093","Lateral","AREA","C0205093","3"
"C0205094","Anterior","BIOLOGICAL_ATTRIBUTE","C0205094","4"
"C0205095","Dorsal","AREA","C0205095","9"
"C0205099","Central","AREA","C0205099","12"
"C0205100","Peripheral","QUALITATIVE_CONCEPT","C0205100","8"
"C0205101","Extrinsic","NONBIOLOGICAL_LOCATION","C0205101","3"
"C0205102","Internal","SIGN_SYMPTOM","C0205102","1"
"C0205103","Intermediate","SEVERITY","C0205103","2"
"C0205106","Transverse - anatomical location","AREA","C0205106","3"
"C0205107","Proximal","AREA","C0205107","4"
"C0205108","Distal (qualifier value)","BIOLOGICAL_STRUCTURE","C0205108","2"
"C0205117","Adjacent","AREA","C0205117","4"
"C0205122","Segmental","BIOLOGICAL_STRUCTURE","C0205122","1"
"C0205124","Superficial","QUALITATIVE_CONCEPT","C0205124","3"
"C0205125","Deep (qualifier value)","QUANTITATIVE_CONCEPT","C0205125","3"
"C0205130","Arcuate shape","SHAPE","C0205130","1"
"C0205132","Linear","OTHER_ENTITY","C0205132","3"
"C0205145","Site","COREFERENCE","C0205145","3"
"C0205146","Area","SIGN_SYMPTOM","C0205146","3"
"C0205148","Surface","BIOLOGICAL_STRUCTURE","C0205148","2"
"C0205154","Along edge (qualifier value)","BIOLOGICAL_STRUCTURE","C0205154","2"
"C0205156","Previous","TIME","C0205156","21"
"C0205160","Negative","LAB_VALUE","C0205160","7"
"C0205161","Abnormal","QUALITATIVE_CONCEPT","C0205161","2"
"C0205163","Equal","QUALITATIVE_CONCEPT","C0205163","2"
"C0205170","Good","QUALITATIVE_CONCEPT","C0205170","17"
"C0205178","acute","SEVERITY","C0205178","2"
"C0205179","Advanced phase","SEVERITY","C0205179","3"
"C0205183","Benign","QUALITATIVE_CONCEPT","C0205183","3"
"C0205191","chronic","SEVERITY","C0205191","4"
"C0205197","Complete","QUANTITATIVE_CONCEPT","C0205197","3"
"C0205200","Confluent","DETAILED_DESCRIPTION","C0205200","1"
"C0205204","Scab","SIGN_SYMPTOM","C0205204","1"
"C0205208","Solid","TEXTURE","C0205208","13"
"C0205216","Decreased","OUTCOME","C0205216","3"
"C0205217","Increased","QUALITATIVE_CONCEPT","C0205217","5"
"C0205219","Diffuse","QUALITATIVE_CONCEPT","C0205219","4"
"C0205221","Disseminated","SEVERITY","C0205221","14"
"C0205225","Primary","DISEASE_DISORDER","C0205225","2"
"C0205231","Extensive","SEVERITY","C0205231","9"
"C0205233","Firm","TEXTURE","C0205233","4"
"C0205234","Focal","SIGN_SYMPTOM","C0205234","34"
"C0205246","Generalized","DETAILED_DESCRIPTION","C0205246","5"
"C0205250","High","AREA","C0205250","7"
"C0205251","low","LAB_VALUE","C0205251","8"
"C0205254","Sedentary","QUALITATIVE_CONCEPT","C0205254","1"
"C0205271","Irregular","TEXTURE","C0205271","4"
"C0205272","Regular","QUALITATIVE_CONCEPT","C0205272","21"
"C0205276","Local","ADMINISTRATION","C0205276","2"
"C0205281","Invasive","BIOLOGICAL_STRUCTURE","C0205281","1"
"C0205284","Marginal","BIOLOGICAL_STRUCTURE","C0205284","5"
"C0205288","Microscopic (qualifier value)","DIAGNOSTIC_PROCEDURE","C0205288","1"
"C0205292","Multifocal","DETAILED_DESCRIPTION","C0205292","1"
"C0205307","Normal","QUALITATIVE_CONCEPT","C0205307","108"
"C0205314","New","QUALITATIVE_CONCEPT","C0205314","2"
"C0205321","Penetration","DISEASE_DISORDER","C0205321","1"
"C0205322","Persistent","CLINICAL_EVENT","C0205322","1"
"C0205324","Flat shape","SHAPE","C0205324","1"
"C0205329","Progressive","DETAILED_DESCRIPTION","C0205329","2"
"C0205330","Punctate","SHAPE","C0205330","1"
"C0205332","Reactive","BIOLOGICAL_ATTRIBUTE","C0205332","12"
"C0205357","Smooth","TEXTURE","C0205357","14"
"C0205358","Soft","SIGN_SYMPTOM","C0205358","6"
"C0205360","Stable status","QUALITATIVE_CONCEPT","C0205360","24"
"C0205370","Unspecified","QUALITATIVE_CONCEPT","C0205370","8"
"C0205374","Transitory","DURATION","C0205374","1"
"C0205379","Visible","SIGN_SYMPTOM","C0205379","1"
"C0205392","Some (qualifier value)","QUANTITATIVE_CONCEPT","C0205392","1"
"C0205394","Other","THERAPEUTIC_PROCEDURE","C0205394","1"
"C0205397","seen","CLINICAL_EVENT","C0205397","1"
"C0205400","Thickened","SIGN_SYMPTOM","C0205400","7"
"C0205402","Prominent","SEVERITY","C0205402","4"
"C0205403","Extreme","SEVERITY","C0205403","1"
"C0205409","Isolated","QUALITATIVE_CONCEPT","C0205409","2"
"C0205410","Sufficient","QUALITATIVE_CONCEPT","C0205410","4"
"C0205420","Concurrent","DETAILED_DESCRIPTION","C0205420","2"
"C0205435","First (number)","QUANTITATIVE_CONCEPT","C0205435","1"
"C0205436","second (number)","QUANTITATIVE_CONCEPT","C0205436","3"
"C0205437","Third","BIOLOGICAL_STRUCTURE","C0205437","2"
"C0205447","One","DOSAGE","C0205447","7"
"C0205448","Two","QUANTITATIVE_CONCEPT","C0205448","27"
"C0205449","Three","QUANTITATIVE_CONCEPT","C0205449","8"
"C0205450","Four","QUANTITATIVE_CONCEPT","C0205450","3"
"C0205452","Six","QUANTITATIVE_CONCEPT","C0205452","1"
"C0205453","Seven","LAB_VALUE","C0205453","1"
"C0205454","Eight","LAB_VALUE","C0205454","3"
"C0205455","Nine","LAB_VALUE","C0205455","3"
"C0205456","Ten","DISTANCE","C0205456","8"
"C0205458","Twelve","DOSAGE","C0205458","2"
"C0205460","biological","DIAGNOSTIC_PROCEDURE","C0205460","2"
"C0205463","Physiological","BIOLOGICAL_ATTRIBUTE","C0205463","5"
"C0205470","immunologic","DIAGNOSTIC_PROCEDURE","C0205470","1"
"C0205474","Biochemical","DIAGNOSTIC_PROCEDURE","C0205474","1"
"C0205480","Gynecologic","CLINICAL_EVENT","C0205480","3"
"C0205489","Dermatologic","DIAGNOSTIC_PROCEDURE","C0205489","2"
"C0205543","Referring","CLINICAL_EVENT","C0205543","99"
"C0205615","Well Differentiated","SEVERITY","C0205615","5"
"C0205616","Moderately differentiated (qualifier value)","SEVERITY","C0205616","10"
"C0205617","Poorly differentiated","SEVERITY","C0205617","6"
"C0205645","Adenocarcinoma, Tubular","DISEASE_DISORDER","C0205645","2"
"C0205646","Adenoma, Basal Cell","DISEASE_DISORDER","C0205646","1"
"C0205649","Adenoma, Monomorphic","QUALITATIVE_CONCEPT","C0205649","2"
"C0205698","Undifferentiated carcinoma","DISEASE_DISORDER","C0205698","2"
"C0206054","Echocardiography, Transesophageal","DIAGNOSTIC_PROCEDURE","C0206054","1"
"C0206077","Ultrasonography, Doppler, Transcranial","DIAGNOSTIC_PROCEDURE","C0206077","1"
"C0206081","Hyperandrogenism","DISEASE_DISORDER","C0206081","1"
"C0206136","Sodium Chloride, Dietary","MEDICATION","C0206136","2"
"C0206172","Diabetic Foot","NONBIOLOGICAL_LOCATION","C0206172","4"
"C0206630","Endometrial Stromal Sarcoma","THERAPEUTIC_PROCEDURE","C0206630","1"
"C0206671","Eccrine acrospiroma","TEXTURE","C0206671","3"
"C0206685","Acinar Cell Carcinoma","DISEASE_DISORDER","C0206685","4"
"C0206713","Papilloma, Intraductal","DISEASE_DISORDER","C0206713","1"
"C0206754","Neuroendocrine Tumors","DISEASE_DISORDER","C0206754","2"
"C0220633","Uveal melanoma","DISEASE_DISORDER","C0220633","1"
"C0220647","Carcinoma of unknown primary","DISEASE_DISORDER","C0220647","1"
"C0220650","Metastatic malignant neoplasm to brain","DISEASE_DISORDER","C0220650","1"
"C0220825","Evaluation","DIAGNOSTIC_PROCEDURE","C0220825","35"
"C0220896","Polish population","DETAILED_DESCRIPTION","C0220896","1"
"C0221099","Impaired","SIGN_SYMPTOM","C0221099","1"
"C0221198","Lesion","DISEASE_DISORDER","C0221198","207"
"C0221204","Lytic lesion","DISEASE_DISORDER","C0221204","2"
"C0221269","Pseudolymphoma","DISEASE_DISORDER","C0221269","1"
"C0221423","Illness (finding)","NONBIOLOGICAL_LOCATION","C0221423","2"
"C0222007","Structure of nail of toe","BIOLOGICAL_STRUCTURE","C0222007","1"
"C0222149","Skin of chest","DIAGNOSTIC_PROCEDURE","C0222149","2"
"C0222596","Upper inner quadrant of breast","BIOLOGICAL_STRUCTURE","C0222596","1"
"C0222597","Lower inner quadrant of breast","BIOLOGICAL_STRUCTURE","C0222597","1"
"C0222600","Right breast","BIOLOGICAL_STRUCTURE","C0222600","3"
"C0222601","Left breast","BIOLOGICAL_STRUCTURE","C0222601","4"
"C0222662","Medullary cavity of bone","BIOLOGICAL_STRUCTURE","C0222662","1"
"C0222686","Structure of superior orbital fissure","BIOLOGICAL_STRUCTURE","C0222686","1"
"C0222687","Structure of foramen rotundum","BIOLOGICAL_STRUCTURE","C0222687","5"
"C0222712","Jugular foramen","BIOLOGICAL_STRUCTURE","C0222712","1"
"C0222715","Structure of stylomastoid foramen","BIOLOGICAL_STRUCTURE","C0222715","1"
"C0222724","Clivus","BIOLOGICAL_STRUCTURE","C0222724","2"
"C0223076","Structure of arch of vertebra","BIOLOGICAL_STRUCTURE","C0223076","1"
"C0223084","Body of vertebra","BIOLOGICAL_STRUCTURE","C0223084","19"
"C0223085","Structure of intervertebral foramen","BIOLOGICAL_STRUCTURE","C0223085","5"
"C0223088","Structure of intervertebral space","BIOLOGICAL_STRUCTURE","C0223088","2"
"C0223170","Body of sixth cervical vertebra","BIOLOGICAL_STRUCTURE","C0223170","1"
"C0223646","Structure of posterior superior iliac spine","BIOLOGICAL_STRUCTURE","C0223646","1"
"C0223656","Ischial tuberosity structure","BIOLOGICAL_STRUCTURE","C0223656","1"
"C0224134","Levator palpebrae superioris structure","BIOLOGICAL_STRUCTURE","C0224134","1"
"C0224153","Structure of sternocleidomastoid muscle","BIOLOGICAL_STRUCTURE","C0224153","1"
"C0224361","Structure of trapezius muscle","BIOLOGICAL_STRUCTURE","C0224361","3"
"C0224384","Structure of levator ani muscle","BIOLOGICAL_STRUCTURE","C0224384","1"
"C0224456","Skeletal muscle structure of lower leg","BIOLOGICAL_STRUCTURE","C0224456","1"
"C0224497","Articular space","BIOLOGICAL_STRUCTURE","C0224497","1"
"C0224792","Structure of subacromial bursa","BIOLOGICAL_STRUCTURE","C0224792","1"
"C0224795","Structure of bursa of coracobrachialis muscle","BIOLOGICAL_STRUCTURE","C0224795","1"
"C0224868","Tendon of supraspinatus muscle","BIOLOGICAL_STRUCTURE","C0224868","2"
"C0225317","soft tissue","BIOLOGICAL_STRUCTURE","C0225317","1"
"C0225331","Fibrous tissue","BIOLOGICAL_STRUCTURE","C0225331","2"
"C0225358","Bladder Detrusor Muscle","BIOLOGICAL_STRUCTURE","C0225358","2"
"C0225377","Structure of upper respiratory tract cavity","BIOLOGICAL_STRUCTURE","C0225377","1"
